Id,c_l4,g_l4
1315,4.5,1315
1316,4.5,1217
1317,4.5,1317
1318,4.5,1318
1319,4.5,812
1320,4.5,957
1321,4.5,653
1322,4.5,5343
1323,4.5,695
1324,4.5,7
1325,4.5,1063
1326,4.5,3141
1327,4.5,957
1328,4.5,882
1329,4.5,212
1330,4.5,415
1331,4.5,1331
1332,4.5,910
1333,4.5,1333
1334,4.5,1333
1335,4.5,1335
1336,4.5,15484
1337,4.5,425
1338,4.5,882
1339,4.5,1248
1340,4.5,812
1341,4.5,1248
1342,4.5,5215
1343,4.5,89
1344,4.5,457
1345,4.5,1345
1346,4.5,1345
1347,4.5,404
1348,4.5,415
1349,4.5,1349
1350,4.5,1063
1351,4.5,1237
1352,4.5,85
1353,4.5,12281
1354,4.5,415
1355,4.5,457
1356,4.5,1356
1357,4.5,5515
1358,4.5,20
1359,4.5,66
1360,4.5,5926
1361,4.5,212
1362,4.5,1362
1363,4.5,1363
1364,4.5,4659
1365,4.5,421
1366,4.5,415
1367,4.5,1366
1368,4.5,1368
1369,4.5,415
1370,4.5,2421
1371,4.5,425
1372,4.5,1372
1373,4.5,1
1374,4.5,1
1375,4.5,823
1376,4.5,823
1377,4.5,1377
1378,4.5,1378
1379,4.5,1378
1380,4.5,487
1381,4.5,421
1382,4.5,415
1383,4.5,1383
1384,4.5,734
1385,4.5,1603
1386,4.5,812
1387,4.5,20607
1388,4.5,20607
1389,4.5,695
1390,4.5,695
1391,4.5,1391
1392,4.5,1122
1393,4.5,421
1394,4.5,1394
1395,4.5,1394
1396,4.5,36
1397,4.5,27
1398,4.5,695
1399,4.5,1399
1400,4.5,3697
1401,4.5,1402
1402,4.5,1402
1403,4.5,212
1404,4.5,6814
1405,4.5,85
1406,4.5,212
1407,4.5,212
1408,4.5,457
1409,4.5,910
1410,4.5,1
1411,4.5,1412
1412,4.5,1412
1413,4.5,400
1414,4.5,910
1415,4.5,556
1416,4.5,2421
1417,4.5,1418
1418,4.5,1418
1419,4.5,796
1420,4.5,404
1421,4.5,315
1422,4.5,381
1423,4.5,1422
1424,4.5,85
1425,4.5,1602
1426,4.5,1602
1427,4.5,1229
1428,4.5,505
1429,4.5,2499
1430,4.5,843
1431,4.5,1248
1432,4.5,415
1433,4.5,2782
1434,4.5,1434
1435,4.5,2359
1436,4.5,1436
1437,4.5,796
1438,4.5,3993
1439,4.5,1248
1440,4.5,212
1441,4.5,2482
1442,4.5,1441
1443,4.5,2421
1444,4.5,1444
1445,4.5,1445
1446,4.5,1446
1447,4.5,3141
1448,4.5,1449
1449,4.5,1449
1450,4.5,1450
1451,4.5,957
1452,4.5,1452
1453,4.5,728
1454,4.5,25959
1455,4.5,415
1456,4.5,1455
1457,4.5,1457
1458,4.5,1457
1459,4.5,695
1460,4.5,2421
1461,4.5,3966
1462,4.5,1602
1463,4.5,910
1464,4.5,1464
1465,4.5,728
1466,4.5,1466
1467,4.5,1467
1468,4.5,302
1469,4.5,415
1470,4.5,812
1471,4.5,1471
1472,4.5,1602
1473,4.5,2421
1474,4.5,351
1475,4.5,4767
1476,4.5,4767
1477,4.5,522
1478,4.5,522
1479,4.5,11263
1480,4.5,36919
1481,4.5,66
1482,4.5,28370
1483,4.5,142
1484,4.5,1484
1485,4.5,43364
1486,4.5,487
1487,4.5,5597
1488,4.5,1487
1489,4.5,653
1490,4.5,6790
1491,4.5,1112
1492,4.5,1492
1493,4.5,1492
1494,4.5,1063
1495,4.5,695
1496,4.5,695
1497,4.5,10747
1498,4.5,425
1499,4.5,1248
1500,4.5,85
1501,4.5,85
1502,4.5,431
1503,4.5,150
1504,4.5,425
1505,4.5,400
1506,4.5,1662
1507,4.5,1662
1508,4.5,1508
1509,4.5,882
1510,4.5,1510
1511,4.5,23199
1512,4.5,15775
1513,4.5,11551
1514,4.5,425
1515,4.5,1515
1516,4.5,404
1517,4.5,1
1518,4.5,415
1519,4.5,695
1520,4.5,150
1521,4.5,150
1522,4.5,1522
1523,4.5,1523
1524,4.5,85
1525,4.5,3141
1526,4.5,3141
1527,4.5,1527
1528,4.5,425
1529,4.5,38
1530,4.5,812
1531,4.5,1531
1532,4.5,711
1533,4.5,345
1534,4.5,1534
1535,4.5,1534
1536,4.5,1536
1537,4.5,1536
1538,4.5,5343
1539,4.5,1122
1540,4.5,5374
1541,4.5,1541
1542,4.5,711
1543,4.5,85
1544,4.5,1237
1545,4.5,425
1546,4.5,1602
1547,4.5,1122
1548,4.5,695
1549,4.5,882
1550,4.5,150
1551,4.5,1551
1552,4.5,1552
1553,4.5,1552
1554,4.5,1554
1555,4.5,1555
1556,4.5,32844
1557,4.5,1557
1558,4.5,1558
1559,4.5,1559
1560,4.5,634
1561,4.5,212
1562,4.5,556
1563,4.5,812
1564,4.5,1564
1565,4.5,1565
1566,4.5,4351
1567,4.5,1566
1568,4.5,212
1569,4.5,2461
1570,4.5,1063
1571,4.5,1122
1572,4.5,425
1573,4.5,1573
1574,4.5,8127
1575,4.5,7961
1576,4.5,1576
